"SK_ID_CURR","TARGET_predicted-probability of default 1","Target_Actual","Rate"
253759,0.21291283,0,21.291283
251505,0.28895512,0,28.895512
426946,0.2584806,0,25.84806
126891,0.26884833,0,26.884833
276169,0.40125522,0,40.125522
367506,0.22545898,0,22.545898
324700,0.17618799,0,17.618799
246692,0.7841179,0,78.41179
456019,0.04976416,0,4.976416
414754,0.4659025,0,46.59025
264775,0.69074243,0,69.074243
444909,0.5916565,0,59.16565
386194,0.75749314,0,75.749314
263504,0.14837152,0,14.837152
304978,0.75923955,0,75.923955
288270,0.5722163,0,57.22163
293049,0.72324413,0,72.324413
285358,0.17029436,0,17.029436
383743,0.34229732,0,34.229732
198676,0.7072061,0,70.72061
349980,0.26019156,0,26.019156
103138,0.56166327,0,56.166327
188604,0.2410626,0,24.10626
223095,0.11431398,0,11.431398
223780,0.17609894,0,17.609894
251340,0.15249212,0,15.249212
188240,0.5270953,0,52.70953
437089,0.2978189,0,29.78189
134963,0.30144083,0,30.144083
338102,0.6112834,1,61.12834
151806,0.62917393,0,62.917393
248671,0.23549707,0,23.549707
334232,0.24614428,0,24.614428
309511,0.07478939,0,7.478939
125247,0.2552634,0,25.52634
390057,0.19164428,0,19.164428
328964,0.42537928,0,42.537928
176399,0.27950454,0,27.950454
246056,0.4690008,0,46.90008
440101,0.13957298,0,13.957298
344669,0.35510227,1,35.510227
381607,0.46484482,0,46.484482
444531,0.19204375,0,19.204375
125594,0.7807415,0,78.07415
454594,0.78277105,0,78.277105
105419,0.5841348,0,58.41348
109599,0.4498759,0,44.98759
125911,0.81053394,0,81.053394
105289,0.5784724,0,57.84724
293408,0.07926582,0,7.926582
256775,0.6620927,0,66.20927
167748,0.2412243,0,24.12243
102965,0.42090854,0,42.090854
396026,0.5998366,1,59.98366
357827,0.7759816,0,77.59816
153526,0.36628792,0,36.628792
389117,0.2956264,0,29.56264
150016,0.24810809,0,24.810809
236983,0.8423804,0,84.23804
442842,0.40993354,0,40.993354
193011,0.27435493,0,27.435493
122304,0.06795203,0,6.795203
424353,0.31924605,0,31.924605
258442,0.0929904,0,9.29904
277769,0.48858172,0,48.858172
302245,0.34385195,0,34.385195
426595,0.25385803,0,25.385803
144655,0.5709843,0,57.09843
406181,0.5061845,0,50.61845
178261,0.3260054,0,32.60054
365650,0.77098846,0,77.098846
307214,0.12570688,0,12.570688
184587,0.43594676,0,43.594676
429056,0.7019231,0,70.19231
287489,0.17763455,0,17.763455
386021,0.607645,0,60.7645
334684,0.1920315,0,19.20315
278233,0.46565226,0,46.565226
265920,0.22070368,0,22.070368
330801,0.46763995,0,46.763995
205098,0.4415609,1,44.15609
336793,0.17985947,0,17.985947
357310,0.56968087,0,56.968087
326860,0.5834567,0,58.34567
346809,0.06965707,0,6.965707
263486,0.08657934,0,8.657934
446414,0.5330513,0,53.30513
424090,0.22445998,0,22.445998
187667,0.27027553,0,27.027553
271819,0.27577126,0,27.577126
281728,0.4172075,0,41.72075
355669,0.48591954,0,48.591954
293302,0.6744457,0,67.44457
373376,0.53734857,0,53.734857
127286,0.5875655,0,58.75655
167332,0.1300356,0,13.00356
391195,0.34317753,0,34.317753
342435,0.33633846,0,33.633846
367373,0.31033596,0,31.033596
114487,0.85340416,0,85.340416
418921,0.08893451,0,8.893451
150281,0.12322875,0,12.322875
241144,0.5851358,0,58.51358
178642,0.18119363,0,18.119363
319537,0.43926626,0,43.926626
